Date,Time,Combined,Date.Value,Site.Name,Conductivity,Depth,DO.percentSAT,DO.mgL,Salinity,Turbidity,Wiper.Position,pH,Temperature,Battery.V
9/1/20,14:30:00,9/1/20 14:30,44075.604,Deployment Site,37725.7,NA,81.1,6.99,31.81,0.39,1.218,NA,13.14,2.67
9/1/20,14:45:00,9/1/20 14:45,44075.615,Deployment Site,37716.9,NA,75.6,6.52,31.88,0.42,1.22,NA,13.045,2.74
9/1/20,15:00:00,9/1/20 15:00,44075.625,Deployment Site,37653.1,NA,70.6,6.12,32.05,0.42,1.223,NA,12.776,2.75
9/1/20,15:15:00,9/1/20 15:15,44075.635,Deployment Site,37674.7,NA,70.9,6.14,31.99,0.6,1.224,NA,12.87,2.74
9/1/20,15:30:00,9/1/20 15:30,44075.646,Deployment Site,37663.6,NA,70.5,6.11,32.06,0.36,1.214,NA,12.784,2.75
9/1/20,15:45:00,9/1/20 15:45,44075.656,Deployment Site,37710.8,NA,73.1,6.32,31.97,0.46,1.211,NA,12.943,2.74
9/1/20,16:00:00,9/1/20 16:00,44075.667,Deployment Site,37714.6,NA,74.1,6.4,31.95,0.37,1.217,NA,12.963,2.75
9/1/20,16:15:00,9/1/20 16:15,44075.677,Deployment Site,37727.3,NA,73.9,6.39,31.98,0.42,1.222,NA,12.944,2.74
9/1/20,16:30:00,9/1/20 16:30,44075.688,Deployment Site,37722,NA,73.1,6.32,32,0.48,1.221,NA,12.913,2.75
9/1/20,16:45:00,9/1/20 16:45,44075.698,Deployment Site,37728.6,NA,75.5,6.52,31.91,0.45,1.224,NA,13.026,2.74
9/1/20,17:00:00,9/1/20 17:00,44075.708,Deployment Site,37733.1,NA,74.3,6.42,31.97,0.31,1.224,NA,12.963,2.75
9/1/20,17:15:00,9/1/20 17:15,44075.719,Deployment Site,37734.5,NA,74.9,6.47,31.96,0.41,1.218,NA,12.977,2.74
9/1/20,17:30:00,9/1/20 17:30,44075.729,Deployment Site,37776.6,NA,77.7,6.7,31.89,0.42,1.213,NA,13.101,2.75
9/1/20,17:45:00,9/1/20 17:45,44075.74,Deployment Site,37821.2,NA,79.8,6.86,31.87,0.4,1.216,NA,13.179,2.74
9/1/20,18:00:00,9/1/20 18:00,44075.75,Deployment Site,37885.5,NA,77.9,6.71,31.96,0.44,1.219,NA,13.142,2.75
9/1/20,18:15:00,9/1/20 18:15,44075.76,Deployment Site,37857.2,NA,76.7,6.61,31.98,0.35,1.223,NA,13.09,2.74
9/1/20,18:30:00,9/1/20 18:30,44075.771,Deployment Site,37863.6,NA,76.6,6.6,31.99,0.39,1.216,NA,13.088,2.75
9/1/20,18:45:00,9/1/20 18:45,44075.781,Deployment Site,37868,NA,76.4,6.59,32,0.43,1.212,NA,13.081,2.74
9/1/20,19:00:00,9/1/20 19:00,44075.792,Deployment Site,37836.4,NA,75,6.47,32.01,0.38,1.207,NA,13.026,2.75
9/1/20,19:15:00,9/1/20 19:15,44075.802,Deployment Site,37933.5,NA,78.2,6.73,31.99,0.36,1.216,NA,13.168,2.74
9/1/20,19:30:00,9/1/20 19:30,44075.813,Deployment Site,37899.7,NA,78.2,6.73,31.97,0.32,1.215,NA,13.154,2.75
9/1/20,19:45:00,9/1/20 19:45,44075.823,Deployment Site,37839.6,NA,80.3,6.91,31.87,0.43,1.217,NA,13.2,2.74
9/1/20,20:00:00,9/1/20 20:00,44075.833,Deployment Site,37812.2,NA,81.2,6.99,31.83,0.44,1.221,NA,13.215,2.75
9/1/20,20:15:00,9/1/20 20:15,44075.844,Deployment Site,37839.1,NA,81,6.96,31.85,0.4,1.218,NA,13.218,2.74
9/1/20,20:30:00,9/1/20 20:30,44075.854,Deployment Site,37850.1,NA,79.8,6.86,31.89,0.32,1.216,NA,13.182,2.73
9/1/20,20:45:00,9/1/20 20:45,44075.865,Deployment Site,37862.5,NA,80,6.89,31.91,0.4,1.222,NA,13.18,2.74
9/1/20,21:00:00,9/1/20 21:00,44075.875,Deployment Site,37857.2,NA,78.4,6.75,31.94,0.36,1.219,NA,13.142,2.75
9/1/20,21:15:00,9/1/20 21:15,44075.885,Deployment Site,37879.6,NA,79.1,6.81,31.94,0.34,1.212,NA,13.166,2.74
9/1/20,21:30:00,9/1/20 21:30,44075.896,Deployment Site,37854.2,NA,80.7,6.94,31.89,0.38,1.211,NA,13.188,2.75
9/1/20,21:45:00,9/1/20 21:45,44075.906,Deployment Site,37911.6,NA,83.8,7.18,31.77,0.39,1.208,NA,13.405,2.74
9/1/20,22:00:00,9/1/20 22:00,44075.917,Deployment Site,37864.4,NA,78.7,6.78,31.94,0.36,1.205,NA,13.144,2.75
9/1/20,22:15:00,9/1/20 22:15,44075.927,Deployment Site,37856.3,NA,81.4,7,31.81,0.46,1.215,NA,13.286,2.74
9/1/20,22:30:00,9/1/20 22:30,44075.938,Deployment Site,37867.3,NA,78.6,6.76,31.95,0.34,1.224,NA,13.142,2.75
9/1/20,22:45:00,9/1/20 22:45,44075.948,Deployment Site,37891.2,NA,78,6.72,31.97,0.33,1.219,NA,13.137,2.74
9/1/20,23:00:00,9/1/20 23:00,44075.958,Deployment Site,37862.4,NA,79.2,6.82,31.91,0.4,1.213,NA,13.173,2.75
9/1/20,23:15:00,9/1/20 23:15,44075.969,Deployment Site,37892.6,NA,76.7,6.6,32.01,0.35,1.211,NA,13.089,2.74
9/1/20,23:30:00,9/1/20 23:30,44075.979,Deployment Site,37893.3,NA,76.9,6.62,32,0.38,1.219,NA,13.11,2.75
9/1/20,23:45:00,9/1/20 23:45,44075.99,Deployment Site,37890.5,NA,106,8.97,31.03,0.76,1.215,NA,14.279,2.74
9/2/20,0:00:00,9/2/20 0:00,44076,Deployment Site,37757.8,NA,107.1,9.09,31.05,0.61,1.207,NA,14.106,2.75
9/2/20,0:15:00,9/2/20 0:15,44076.01,Deployment Site,37815.6,NA,106,8.99,31.03,0.83,1.216,NA,14.191,2.74
9/2/20,0:30:00,9/2/20 0:30,44076.021,Deployment Site,37872.1,NA,97.7,8.3,31.28,0.64,1.224,NA,13.954,2.75
9/2/20,0:45:00,9/2/20 0:45,44076.031,Deployment Site,37891.9,NA,93.9,8.01,31.43,0.5,1.218,NA,13.791,2.74
9/2/20,1:00:00,9/2/20 1:00,44076.042,Deployment Site,37883.3,NA,90,7.69,31.58,0.57,1.205,NA,13.603,2.75
9/2/20,1:15:00,9/2/20 1:15,44076.052,Deployment Site,37864.3,NA,82.3,7.07,31.81,0.43,1.216,NA,13.305,2.74
9/2/20,1:30:00,9/2/20 1:30,44076.063,Deployment Site,37870.8,NA,80.3,6.9,31.87,0.45,1.212,NA,13.23,2.74
9/2/20,1:45:00,9/2/20 1:45,44076.073,Deployment Site,37870.2,NA,77.3,6.66,31.94,0.42,1.205,NA,13.153,2.74
